,ASPA_Customer_Meters.shp,Buildings.shp,Roads.shp,Sewer_Lift_Stations.shp,Sewer_Lines.shp,Water_Boosters.shp,Water_Lines.shp,sum
base_Surface,0.1,0.0,0.1,0.0,0.1,0.0,0.2,0.1
2ft_Surface,0.1,0.0,0.4,0.0,0.3,0.0,0.6,0.2
2ft_RCP45_Surface,0.2,0.1,0.5,0.0,0.6,0.0,0.7000000000000001,0.3
1ft_Surface,0.4,0.4,1.5,0.0,1.4000000000000001,0.0,1.5,0.7000000000000001
base_Sub,1.6,2.0,3.8,0.0,3.5000000000000004,20.0,3.8,5.0
5ft_Surface,2.1,3.1,4.5,0.0,4.1000000000000005,20.0,5.1,5.6000000000000005
5ft_RCP45_Surface,2.1,3.2,4.7,0.0,4.2,20.0,5.2,5.6000000000000005
2ft_Sub,4.9,6.5,13.0,0.0,11.200000000000001,20.0,11.5,9.6
2ft_RCP45_Sub,5.3,6.800000000000001,14.2,0.0,12.1,20.0,12.3,10.100000000000001
1ft_Sub,8.4,10.299999999999999,21.8,25.0,19.3,20.0,19.1,17.7
8ft_RCP45_Surface,10.7,13.600000000000001,28.000000000000004,37.5,23.3,20.0,25.2,22.6
8ft_Surface,10.7,13.600000000000001,28.000000000000004,37.5,23.3,20.0,25.2,22.6
5ft_Sub,12.9,16.400000000000002,34.300000000000004,50.0,26.6,40.0,30.0,30.0
5ft_RCP45_Sub,13.0,16.900000000000002,34.8,50.0,27.0,40.0,30.4,30.3
8ft_Sub,20.200000000000003,23.599999999999998,44.6,87.5,32.5,60.0,41.099999999999994,44.2
8ft_RCP45_Sub,20.200000000000003,23.7,44.7,87.5,32.6,80.0,41.3,47.199999999999996
Total_Lengths,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
